UnitID,SchoolName,StateCode,Sector,OpenAdmissionPolicy,GPA,SchoolRank,SecondarySchoolRecord,Recs,ApplicantsTotal,ApplicantsMen,ApplicantsWomen,AdmissionsTotal,AdmissionsMen,AdmissionsWomen,EnrolledTotal,EnrolledMen,EnrolledWomen,SAT_RW_25,SAT_RW_75,SAT_Math_25,SAT_Math_75,ACT_Composite_25,ACT_Composite_75,ACT_English_25,ACT_English_75,ACT_Math_25,ACT_Math_75,SchoolYear
222178,Abilene Christian University,48,Private,No,Recommended,Recommended,Required,Required,1610.0,2102.0,801.0,1022.0,460.0,523.0,983.0,3712.0,1823.0,480.0,600.0,490.0,620.0,21.0,27.0,20.0,28.0,20.0,26.0,2009
222178,Abilene Christian University,48,Private,No,Recommended,Recommended,Required,Not Required nor Recommended,1762.0,2344.0,909.0,1248.0,451.0,529.0,980.0,4106.0,2157.0,500.0,610.0,510.0,520.0,22.0,28.0,21.0,29.0,21.0,27.0,2010
222178,Abilene Christian University,48,Private,No,Recommended,Recommended,Required,Not Required nor Recommended,3470.0,1521.0,1949.0,2234.0,1321.0,913.0,864.0,371.0,493.0,490.0,620.0,505.0,610.0,22.0,28.0,21.0,29.0,21.0,27.0,2011
222178,Abilene Christian University,48,Private,No,Recommended,Recommended,Required,Not Required nor Recommended,8440.0,3673.0,4767.0,3840.0,1541.0,2299.0,957.0,391.0,566.0,480.0,600.0,490.0,600.0,22.0,27.0,21.0,28.0,21.0,26.0,2012
222178,Abilene Christian University,48,Private,No,Recommended,Recommended,Required,Not Required nor Recommended,10188.0,4129.0,6059.0,4986.0,1836.0,3150.0,1030.0,401.0,629.0,470.0,580.0,490.0,600.0,21.0,27.0,21.0,27.0,21.0,27.0,2013
222178,Abilene Christian University,48,Private,No,Recommended,Recommended,Required,Not Required nor Recommended,9384.0,3846.0,5538.0,4736.0,1742.0,2994.0,974.0,410.0,564.0,470.0,590.0,490.0,600.0,21.0,27.0,21.0,27.0,21.0,27.0,2014
222178,Abilene Christian University,48,Private,No,Recommended,Recommended,Required,Not Required nor Recommended,10804.0,4229.0,6575.0,5393.0,1918.0,3475.0,1072.0,395.0,677.0,470.0,590.0,480.0,590.0,22.0,27.0,21.0,27.0,20.0,26.0,2015
222178,Abilene Christian University,48,Private,No,Recommended,Recommended,Required,Not Required nor Recommended,10252.0,4058.0,6194.0,5217.0,1949.0,3268.0,1047.0,415.0,632.0,460.0,580.0,470.0,580.0,21.0,27.0,20.0,28.0,21.0,26.0,2016
222178,Abilene Christian University,48,Private,No,Recommended,Recommended,Required,Not Required nor Recommended,10252.0,3663.0,6164.0,5952.0,2096.0,3856.0,972.0,391.0,581.0,510.0,620.0,515.0,600.0,21.0,26.0,20.0,26.0,20.0,26.0,2017
222178,Abilene Christian University,48,Private,No,Recommended,Recommended,Required,Not Required nor Recommended,11569.0,4388.0,7181.0,6590.0,2371.0,4219.0,924.0,334.0,590.0,530.0,620.0,510.0,610.0,21.0,27.0,20.0,26.0,19.0,26.0,2018
222178,Abilene Christian University,48,Private,No,Recommended,Recommended,Required,Not Required nor Recommended,11379.0,4346.0,7033.0,6996.0,2558.0,4438.0,932.0,362.0,570.0,515.0,630.0,500.0,600.0,21.0,28.0,19.0,28.0,18.0,26.0,2019
126182,Adams State University,8,Public,No,Required,Required,Required,Not Required nor Recommended,1056.0,1276.0,620.0,715.0,290.0,276.0,566.0,2332.0,1335.0,400.0,550.0,420.0,545.0,17.0,22.0,16.0,22.0,15.0,22.0,2009
126182,Adams State University,8,Public,No,Required,Required,Required,Not Required nor Recommended,1271.0,1574.0,664.0,904.0,277.0,313.0,590.0,2845.0,1568.0,420.0,510.0,430.0,520.0,17.0,22.0,16.0,22.0,16.0,22.0,2010
126182,Adams State University,8,Public,No,Required,Required,Required,Not Required nor Recommended,2534.0,1189.0,1345.0,1613.0,751.0,862.0,582.0,300.0,282.0,430.0,550.0,450.0,550.0,17.0,22.0,16.0,23.0,16.0,23.0,2011
126182,Adams State University,8,Public,No,Required,Required,Required,Not Required nor Recommended,2580.0,1214.0,1366.0,1565.0,741.0,824.0,509.0,276.0,233.0,410.0,530.0,435.0,550.0,18.0,23.0,17.0,23.0,17.0,23.0,2012
126182,Adams State University,8,Public,No,Required,Required,Required,Not Required nor Recommended,2658.0,1303.0,1355.0,1398.0,671.0,727.0,519.0,281.0,238.0,440.0,533.0,450.0,550.0,17.0,22.0,16.0,22.0,16.0,23.0,2013
126182,Adams State University,8,Public,No,Required,Required,Required,Not Required nor Recommended,2832.0,1431.0,1401.0,1849.0,923.0,926.0,508.0,299.0,209.0,430.0,520.0,458.0,560.0,17.0,23.0,16.0,22.0,17.0,23.0,2014
126182,Adams State University,8,Public,No,Required,Required,Required,Not Required nor Recommended,2592.0,1179.0,1413.0,1668.0,725.0,943.0,425.0,234.0,191.0,430.0,530.0,470.0,533.0,17.0,23.0,15.0,22.0,17.0,23.0,2015
126182,Adams State University,8,Public,No,Required,Required,Required,Not Required nor Recommended,1957.0,910.0,1047.0,1929.0,895.0,1034.0,462.0,238.0,224.0,413.0,530.0,440.0,520.0,17.0,22.0,15.0,22.0,16.0,22.0,2016
126182,Adams State University,8,Public,No,Required,Required,Required,Not Required nor Recommended,1791.0,804.0,987.0,1771.0,794.0,977.0,397.0,210.0,187.0,430.0,540.0,450.0,540.0,17.0,22.0,15.0,22.0,16.0,22.0,2017
126182,Adams State University,8,Public,No,Required,Required,Required,Not Required nor Recommended,1698.0,778.0,920.0,1675.0,764.0,911.0,460.0,253.0,207.0,440.0,550.0,430.0,530.0,17.0,22.0,15.0,22.0,16.0,23.0,2018
126182,Adams State University,8,Public,No,Required,Required,Required,Not Required nor Recommended,1765.0,719.0,1046.0,1749.0,711.0,1038.0,399.0,190.0,209.0,450.0,550.0,440.0,540.0,17.0,22.0,15.0,21.0,16.0,22.0,2019
188429,Adelphi University,36,Private,No,Required,Recommended,Required,Required,2482.0,4867.0,1665.0,3460.0,301.0,704.0,1005.0,7349.0,5125.0,480.0,580.0,500.0,600.0,20.0,26.0,20.0,26.0,20.0,26.0,2009
188429,Adelphi University,36,Private,No,Required,Recommended,Required,Required,2651.0,5280.0,1745.0,3774.0,278.0,643.0,921.0,7931.0,5519.0,490.0,580.0,490.0,590.0,21.0,26.0,20.0,26.0,20.0,26.0,2010
188429,Adelphi University,36,Private,No,Required,Recommended,Required,Required,8278.0,2886.0,5392.0,5730.0,1910.0,3820.0,988.0,310.0,678.0,480.0,580.0,500.0,600.0,21.0,26.0,21.0,27.0,20.0,26.0,2011
188429,Adelphi University,36,Private,No,Required,Recommended,Required,Required,9184.0,3161.0,6023.0,6104.0,1993.0,4111.0,999.0,303.0,696.0,500.0,600.0,510.0,620.0,22.0,28.0,21.0,29.0,22.0,27.0,2012
188429,Adelphi University,36,Private,No,Required,Recommended,Required,Required,8654.0,3016.0,5638.0,5897.0,1952.0,3945.0,918.0,300.0,518.0,500.0,600.0,520.0,620.0,19.0,24.0,20.0,26.0,22.0,27.0,2013
188429,Adelphi University,36,Private,No,Required,Recommended,Required,Required,8806.0,3113.0,5693.0,6377.0,2175.0,4202.0,975.0,306.0,669.0,500.0,600.0,510.0,620.0,19.0,24.0,21.0,27.0,22.0,26.0,2014
188429,Adelphi University,36,Private,No,Required,Recommended,Required,Required,9367.0,3248.0,6119.0,6762.0,2247.0,4515.0,868.0,295.0,573.0,500.0,600.0,510.0,620.0,19.0,25.0,21.0,27.0,22.0,28.0,2015
188429,Adelphi University,36,Private,No,Required,Recommended,Required,Required,11863.0,4044.0,7819.0,8339.0,2695.0,5644.0,1226.0,356.0,870.0,500.0,600.0,510.0,610.0,22.0,27.0,21.0,28.0,22.0,27.0,2016
188429,Adelphi University,36,Private,No,Required,Recommended,Required,Required,11851.0,4102.0,7749.0,8666.0,2864.0,5802.0,1131.0,366.0,765.0,530.0,620.0,530.0,620.0,22.0,27.0,21.0,27.0,21.0,27.0,2017
188429,Adelphi University,36,Private,No,Required,Recommended,Required,Required,13006.0,4397.0,8609.0,9648.0,3126.0,6522.0,1245.0,362.0,883.0,540.0,630.0,540.0,640.0,22.0,27.0,21.0,27.0,20.0,27.0,2018
188429,Adelphi University,36,Private,No,Required,Recommended,Required,Required,13919.0,4701.0,9218.0,10342.0,3244.0,7098.0,1132.0,342.0,790.0,530.0,630.0,530.0,620.0,21.0,27.0,22.0,29.0,19.0,26.0,2019
100654,Alabama A & M University,1,Public,No,Required,Recommended,Required,Not Required nor Recommended,2273.0,3432.0,1059.0,1637.0,507.0,543.0,1050.0,5705.0,2696.0,400.0,470.0,380.0,470.0,16.0,19.0,15.0,20.0,15.0,18.0,2009
100654,Alabama A & M University,1,Public,No,Required,Recommended,Required,Not Required nor Recommended,2557.0,3429.0,1264.0,1806.0,548.0,575.0,1123.0,5986.0,3070.0,380.0,470.0,370.0,470.0,16.0,19.0,15.0,20.0,15.0,18.0,2010
100654,Alabama A & M University,1,Public,No,Required,Recommended,Required,Not Required nor Recommended,7156.0,2847.0,4309.0,3585.0,1442.0,2143.0,872.0,426.0,446.0,370.0,450.0,360.0,450.0,16.0,19.0,14.0,19.0,15.0,18.0,2011
100654,Alabama A & M University,1,Public,No,Required,Recommended,Required,Not Required nor Recommended,10877.0,4219.0,6658.0,5915.0,2246.0,3669.0,1033.0,513.0,520.0,370.0,455.0,370.0,460.0,16.0,19.0,14.0,19.0,15.0,18.0,2012
100654,Alabama A & M University,1,Public,No,Required,Recommended,Required,Not Required nor Recommended,6142.0,2401.0,3741.0,5521.0,2100.0,3421.0,1104.0,542.0,562.0,370.0,450.0,350.0,450.0,15.0,19.0,14.0,19.0,15.0,18.0,2013
100654,Alabama A & M University,1,Public,No,Required,Recommended,Required,Not Required nor Recommended,9901.0,3852.0,6049.0,5204.0,1977.0,3227.0,1207.0,562.0,645.0,377.0,470.0,370.0,470.0,15.0,19.0,14.0,19.0,15.0,18.0,2014
100654,Alabama A & M University,1,Public,No,Required,Recommended,Required,Not Required nor Recommended,7901.0,3030.0,4871.0,5166.0,1999.0,3167.0,1461.0,654.0,807.0,383.0,470.0,360.0,480.0,16.0,19.0,14.0,20.0,15.0,18.0,2015
100654,Alabama A & M University,1,Public,No,Required,Recommended,Required,Not Required nor Recommended,7043.0,2725.0,4318.0,6154.0,2276.0,3878.0,1568.0,652.0,916.0,380.0,470.0,370.0,470.0,16.0,19.0,14.0,20.0,15.0,18.0,2016
100654,Alabama A & M University,1,Public,No,Required,Recommended,Required,Not Required nor Recommended,8610.0,3066.0,5544.0,7772.0,2704.0,5068.0,1294.0,518.0,776.0,365.0,485.0,360.0,495.0,16.0,19.0,14.0,20.0,15.0,18.0,2017
100654,Alabama A & M University,1,Public,No,Required,Recommended,Required,Not Required nor Recommended,9638.0,3210.0,6428.0,8661.0,2793.0,5868.0,1529.0,625.0,904.0,430.0,520.0,420.0,510.0,16.0,19.0,14.0,20.0,15.0,18.0,2018
