UnitID,SchoolName,StateCode,Sector,OpenAdmissionPolicy,GPA,SchoolRank,SecondarySchoolRecord,Recs,ApplicantsTotal,ApplicantsMen,ApplicantsWomen,AdmissionsTotal,AdmissionsMen,AdmissionsWomen,EnrolledTotal,EnrolledMen,EnrolledWomen,SAT_RW_25,SAT_RW_75,SAT_Math_25,SAT_Math_75,ACT_Composite_25,ACT_Composite_75,ACT_English_25,ACT_English_75,ACT_Math_25,ACT_Math_75,SchoolYear
110635,University of California-Berkeley,California,Public,No,Required,Not Required nor Recommended,Required,Not Required nor Recommended,23145.0,25328.0,4711.0,5693.0,1980.0,2281.0,4261.0,48473.0,10404.0,580.0,700.0,620.0,760.0,25.0,32.0,25.0,33.0,26.0,34.0,2009
110635,University of California-Berkeley,California,Public,No,Required,Not Required nor Recommended,Required,Not Required nor Recommended,23128.0,25554.0,4728.0,5796.0,1962.0,2394.0,4356.0,48682.0,10524.0,590.0,710.0,640.0,750.0,26.0,32.0,26.0,33.0,27.0,34.0,2010
110635,University of California-Berkeley,California,Public,No,Required,Not Required nor Recommended,Required,Not Required nor Recommended,50374.0,24473.0,25901.0,10795.0,4914.0,5881.0,4109.0,1894.0,2215.0,600.0,730.0,630.0,760.0,27.0,32.0,26.0,33.0,27.0,34.0,2011
110635,University of California-Berkeley,California,Public,No,Required,Not Required nor Recommended,Required,Not Required nor Recommended,52982.0,25843.0,27139.0,11450.0,5335.0,6115.0,4443.0,2132.0,2311.0,600.0,720.0,650.0,770.0,27.0,33.0,27.0,34.0,27.0,34.0,2012
110635,University of California-Berkeley,California,Public,No,Required,Not Required nor Recommended,Required,Not Required nor Recommended,61717.0,30715.0,31002.0,11108.0,5233.0,5875.0,4162.0,2036.0,2126.0,590.0,720.0,630.0,770.0,27.0,33.0,26.0,34.0,27.0,34.0,2013
110635,University of California-Berkeley,California,Public,No,Required,Not Required nor Recommended,Required,Not Required nor Recommended,73782.0,37051.0,36731.0,11820.0,5412.0,6408.0,5467.0,2541.0,2925.0,600.0,730.0,640.0,770.0,29.0,34.0,29.0,35.0,28.0,34.0,2014
110635,University of California-Berkeley,California,Public,No,Required,Not Required nor Recommended,Required,Not Required nor Recommended,78893.0,39443.0,39450.0,13320.0,6082.0,7238.0,5550.0,2671.0,2879.0,610.0,740.0,640.0,770.0,30.0,34.0,31.0,35.0,29.0,35.0,2015
110635,University of California-Berkeley,California,Public,No,Required,Not Required nor Recommended,Required,Not Required nor Recommended,82561.0,41046.0,41515.0,13975.0,6209.0,7766.0,6182.0,2997.0,3185.0,620.0,750.0,650.0,790.0,31.0,34.0,31.0,35.0,29.0,35.0,2016
110635,University of California-Berkeley,California,Public,No,Required,Not Required nor Recommended,Required,Considered but NOT required,85044.0,41597.0,43447.0,14549.0,6324.0,8225.0,6379.0,2957.0,3422.0,630.0,720.0,630.0,760.0,30.0,34.0,29.0,35.0,28.0,35.0,2017
110635,University of California-Berkeley,California,Public,No,Required,Not Required nor Recommended,Required,Considered but NOT required,89607.0,43552.0,46055.0,13301.0,5585.0,7716.0,6012.0,2662.0,3350.0,650.0,740.0,670.0,790.0,31.0,35.0,29.0,35.0,28.0,35.0,2018
110635,University of California-Berkeley,California,Public,No,Required,Not Required nor Recommended,Required,Considered but NOT required,87847.0,42497.0,44900.0,14278.0,6019.0,8259.0,6455.0,2897.0,3558.0,650.0,740.0,680.0,790.0,31.0,35.0,29.0,35.0,28.0,35.0,2019
110644,University of California-Davis,California,Public,No,Required,Not Required nor Recommended,Required,Not Required nor Recommended,18479.0,22146.0,9122.0,12235.0,2113.0,2859.0,4972.0,40625.0,21357.0,500.0,630.0,550.0,670.0,22.0,28.0,21.0,28.0,24.0,29.0,2009
110644,University of California-Davis,California,Public,No,Required,Not Required nor Recommended,Required,Not Required nor Recommended,19118.0,23270.0,8565.0,11513.0,1836.0,2578.0,4414.0,42388.0,20078.0,510.0,640.0,560.0,680.0,23.0,29.0,22.0,29.0,24.0,30.0,2010
110644,University of California-Davis,California,Public,No,Required,Not Required nor Recommended,Required,Not Required nor Recommended,43313.0,19791.0,23522.0,20042.0,8769.0,11273.0,4501.0,2034.0,2467.0,520.0,650.0,570.0,680.0,23.0,29.0,22.0,29.0,24.0,30.0,2011
110644,University of California-Davis,California,Public,No,Required,Not Required nor Recommended,Required,Not Required nor Recommended,46215.0,21107.0,25108.0,22303.0,9641.0,12662.0,4705.0,2008.0,2697.0,520.0,640.0,570.0,690.0,23.0,30.0,22.0,30.0,24.0,31.0,2012
110644,University of California-Davis,California,Public,No,Required,Not Required nor Recommended,Required,Not Required nor Recommended,49820.0,23010.0,26810.0,22526.0,9532.0,12994.0,5208.0,2066.0,3142.0,510.0,640.0,560.0,680.0,23.0,29.0,22.0,30.0,24.0,30.0,2013
110644,University of California-Davis,California,Public,No,Required,Not Required nor Recommended,Required,Not Required nor Recommended,60543.0,27570.0,32973.0,24440.0,9962.0,14478.0,5377.0,1973.0,3404.0,510.0,640.0,560.0,700.0,25.0,31.0,24.0,32.0,25.0,31.0,2014
110644,University of California-Davis,California,Public,No,Required,Not Required nor Recommended,Required,Not Required nor Recommended,64602.0,29571.0,35031.0,24518.0,9840.0,14678.0,5369.0,1972.0,3397.0,510.0,630.0,560.0,710.0,25.0,31.0,25.0,32.0,25.0,31.0,2015
110644,University of California-Davis,California,Public,No,Required,Not Required nor Recommended,Required,Not Required nor Recommended,68553.0,31318.0,37235.0,28981.0,11363.0,17618.0,5762.0,2092.0,3670.0,510.0,630.0,540.0,700.0,25.0,31.0,24.0,32.0,24.0,31.0,2016
110644,University of California-Davis,California,Public,No,Required,Not Required nor Recommended,Required,Not Required nor Recommended,70952.0,32302.0,38650.0,30762.0,12494.0,18268.0,5868.0,2250.0,3618.0,560.0,660.0,570.0,700.0,25.0,32.0,23.0,31.0,25.0,31.0,2017
110644,University of California-Davis,California,Public,No,Required,Not Required nor Recommended,Required,Not Required nor Recommended,78022.0,35363.0,42659.0,32046.0,12609.0,19347.0,6393.0,2288.0,4105.0,580.0,670.0,580.0,730.0,24.0,32.0,23.0,32.0,23.0,30.0,2018
